Id,Predicted
114982,333453.66
95653,485743.19
40303,306242.99
109506,388833.96
100149,491431.09
7610,305435.03
61101,327099.9
68167,394667.95
65701,333108.55
56039,286265.74
81919,403536.76
99768,434194.62
124053,671020
3942,413718.9
118904,535460.95
30060,456972.53
185729,484324.92
46357,535864.85
20662,368617.17
102274,513524.48
53369,328066.23
9719,337828.28
20145,324610.28
159051,576533.43
31481,282627.73
142247,356071.43
29119,339108.02
151448,468201.68
60594,313513.34
83400,544611.12
40168,313400.38
52407,389894.67
127232,469807.54
131188,386927.29
952,207139.81
166230,446845.83
144844,403145.83
33207,302200.86
28355,539043.59
179918,616498.02
162451,704026.36
19390,259951.25
114861,425826.44
132259,406351.33
180033,701657.97
97052,440398.97
94224,496050
32295,503931.67
171908,589168.78
80236,533667.98
156193,439613.52
54494,348160.15
174530,631819
143835,351898.69
26275,324710.11
61627,366167.79
49813,251280.79
3466,421205.5
117691,489377.11
132738,565709
114211,488746.6
116741,446274.61
39246,366741.07
150011,411272.69
182319,565279.22
32441,335110.8
18842,324056.75
99428,376232.74
96435,473548.56
134803,405853.07
171636,490509.1
115944,483790.24
149001,463228.53
19084,332720.05
178128,590301.29
74818,381451.27
49603,293323.49
86262,607464.64
14520,310144.87
57209,687913.52
148575,609047.73
33,187104.48
180401,644667.01
87114,473593.72
16450,355594.85
28848,335483.98
11519,316113.65
7202,307213.23
2843,265281.61
156073,535728.57
132217,413967.65
140349,502674.4
34614,318271.27
135594,406321.14
170933,663793.32
62586,423129.63
145868,370519.32
15155,268518.43
61290,323978.7
184569,710120.83
169996,403385.24
7026,383090.31
128356,405581.8
134501,584450.35
163406,656639.83
56796,407033.78
174870,698675.19
142554,581504.02
59547,319320.28
143113,456555.19
154091,546443.05
61191,318063.9
135899,399212.37
172405,553536.85
184121,532428.8
1063,381315.48
6348,295160.32
79995,514171.41
50573,307861.84
79894,399383.51
113553,389753.23
31931,370324.4
86645,349120.01
123780,364714.11
142940,531586.11
138987,528042.88
41502,296954.8
100104,577046.56
83570,460092.28
181648,587753.18
68406,416562.9
114567,352191.83
5470,379675.71
176926,699791.67
173013,510422.66
110219,448011.52
52178,275732.59
120569,426418.05
132710,478028.87
10478,349440.12
100309,697923.4
76446,370556.12
140674,435880.29
122786,383054.83
66214,490918.95
120240,337129.18
113802,378455.1
169747,410507.31
45819,373026.55
36170,298827.95
84049,426387.58
104675,403078.35
66165,442602.12
92499,410310.62
107783,497541.69
148441,493217.64
12344,306332.5
